img_path,label,group
G:/Shared drives/BioSoundSCape_ABG/labeled_data/spectrogram_data/training/s2lam044_230622_2023-06-24_16-30_56.54_noaug_B_sp4_596.png,1,596
G:/Shared drives/BioSoundSCape_ABG/labeled_data/spectrogram_data/training/s2lam067_230822_2023-08-23_15-50_42.82_noaug_B_sp4_600.png,1,600
G:/Shared drives/BioSoundSCape_ABG/labeled_data/spectrogram_data/training/154791678_42.75_noaug_B_sp4_601.png,1,601
G:/Shared drives/BioSoundSCape_ABG/labeled_data/spectrogram_data/training/154791678_43.25_noaug_B_sp4_601.png,1,601
G:/Shared drives/BioSoundSCape_ABG/labeled_data/spectrogram_data/training/s2lam104_230811_2023-08-13_09-00_16.22_noaug_B_sp4_597.png,1,597
G:/Shared drives/BioSoundSCape_ABG/labeled_data/spectrogram_data/training/s2lam044_230622_2023-06-24_16-30_57.04_noaug_B_sp4_596.png,1,596
G:/Shared drives/BioSoundSCape_ABG/labeled_data/spectrogram_data/training/154787859_34.1_noaug_B_sp4_603.png,1,603
G:/Shared drives/BioSoundSCape_ABG/labeled_data/spectrogram_data/training/154794369_25.55_noaug_B_sp4_604.png,1,604
G:/Shared drives/BioSoundSCape_ABG/labeled_data/spectrogram_data/training/s2lam074_231125_2023-11-25_19-40_15.07_noaug_B_sp4_599.png,1,599
G:/Shared drives/BioSoundSCape_ABG/labeled_data/spectrogram_data/training/s2lam104_230711_2023-07-12_12-40_8.46_noaug_B_sp4_605.png,1,605
G:/Shared drives/BioSoundSCape_ABG/labeled_data/spectrogram_data/training/s2lam107_230819_2023-08-20_06-50_8.04_noaug_B_sp4_575.png,1,575
G:/Shared drives/BioSoundSCape_ABG/labeled_data/spectrogram_data/training/s2lam074_231125_2023-11-25_19-40_15.32_noaug_B_sp4_599.png,1,599
G:/Shared drives/BioSoundSCape_ABG/labeled_data/spectrogram_data/training/154794369_25.8_noaug_B_sp4_604.png,1,604
G:/Shared drives/BioSoundSCape_ABG/labeled_data/spectrogram_data/training/s2lam025_230815_2023-08-21_17-00_5.88_noaug_B_sp4_539.png,1,539
G:/Shared drives/BioSoundSCape_ABG/labeled_data/spectrogram_data/training/154790205_2.75_noaug_B_sp4_592.png,1,592
G:/Shared drives/BioSoundSCape_ABG/labeled_data/spectrogram_data/training/s2lam074_231125_2023-11-25_19-40_14.82_noaug_B_sp4_599.png,1,599
G:/Shared drives/BioSoundSCape_ABG/labeled_data/spectrogram_data/training/154794369_26.05_noaug_B_sp4_604.png,1,604
G:/Shared drives/BioSoundSCape_ABG/labeled_data/spectrogram_data/training/157789693_4.24_noaug_B_sp4_555.png,1,555
G:/Shared drives/BioSoundSCape_ABG/labeled_data/spectrogram_data/training/s2lam038_231020_2023-10-23_17-00_40.23_noaug_B_sp4_558.png,1,558
G:/Shared drives/BioSoundSCape_ABG/labeled_data/spectrogram_data/training/154787859_33.6_noaug_B_sp4_603.png,1,603
G:/Shared drives/BioSoundSCape_ABG/labeled_data/spectrogram_data/training/s2lam016_231103_2023-11-07_05-50_43.31_noaug_B_sp4_574.png,1,574
G:/Shared drives/BioSoundSCape_ABG/labeled_data/spectrogram_data/training/154795473_23.39_noaug_B_sp4_563.png,1,563
G:/Shared drives/BioSoundSCape_ABG/labeled_data/spectrogram_data/training/154795073_1.77_noaug_B_sp4_543.png,1,543
G:/Shared drives/BioSoundSCape_ABG/labeled_data/spectrogram_data/training/s2lam104_230711_2023-07-12_12-40_8.96_noaug_B_sp4_605.png,1,605
G:/Shared drives/BioSoundSCape_ABG/labeled_data/spectrogram_data/training/s2lam067_230822_2023-08-23_15-50_43.32_noaug_B_sp4_600.png,1,600
G:/Shared drives/BioSoundSCape_ABG/labeled_data/spectrogram_data/training/154787859_33.85_noaug_B_sp4_603.png,1,603
G:/Shared drives/BioSoundSCape_ABG/labeled_data/spectrogram_data/training/154793543_31.94_noaug_B_sp4_608.png,1,608
G:/Shared drives/BioSoundSCape_ABG/labeled_data/spectrogram_data/training/s2lam104_230725_2023-07-30_12-40_38.66_noaug_B_sp4_607.png,1,607
G:/Shared drives/BioSoundSCape_ABG/labeled_data/spectrogram_data/training/154794154_10.09_noaug_B_sp4_602.png,1,602
G:/Shared drives/BioSoundSCape_ABG/labeled_data/spectrogram_data/training/154794154_10.59_noaug_B_sp4_602.png,1,602
G:/Shared drives/BioSoundSCape_ABG/labeled_data/spectrogram_data/training/154794154_10.34_noaug_B_sp4_602.png,1,602
G:/Shared drives/BioSoundSCape_ABG/labeled_data/spectrogram_data/training/s2lam104_230811_2023-08-11_15-00_49.85_noaug_B_sp4_606.png,1,606
G:/Shared drives/BioSoundSCape_ABG/labeled_data/spectrogram_data/training/s2lam104_230811_2023-08-11_15-00_50.1_noaug_B_sp4_606.png,1,606
G:/Shared drives/BioSoundSCape_ABG/labeled_data/spectrogram_data/training/s2lam104_230725_2023-07-30_12-40_39.16_noaug_B_sp4_607.png,1,607
G:/Shared drives/BioSoundSCape_ABG/labeled_data/spectrogram_data/training/s2lam067_230822_2023-08-23_15-50_43.07_noaug_B_sp4_600.png,1,600
G:/Shared drives/BioSoundSCape_ABG/labeled_data/spectrogram_data/training/s2lam104_230811_2023-08-11_15-00_49.6_noaug_B_sp4_606.png,1,606
G:/Shared drives/BioSoundSCape_ABG/labeled_data/spectrogram_data/training/s2lam104_230711_2023-07-12_12-40_8.71_noaug_B_sp4_605.png,1,605
G:/Shared drives/BioSoundSCape_ABG/labeled_data/spectrogram_data/training/s2lam104_230725_2023-07-30_12-40_38.91_noaug_B_sp4_607.png,1,607
G:/Shared drives/BioSoundSCape_ABG/labeled_data/spectrogram_data/training/s2lam079_231103_2023-11-04_16-50_27.38_noaug_B_sp4_566.png,1,566
G:/Shared drives/BioSoundSCape_ABG/labeled_data/spectrogram_data/training/s2lam079_231027_2023-11-01_11-50_1.15_noaug_B_sp4_612.png,1,612
G:/Shared drives/BioSoundSCape_ABG/labeled_data/spectrogram_data/training/s2lam079_231027_2023-11-01_11-50_1.4_noaug_B_sp4_612.png,1,612
G:/Shared drives/BioSoundSCape_ABG/labeled_data/spectrogram_data/training/154795473_23.64_noaug_B_sp4_563.png,1,563
G:/Shared drives/BioSoundSCape_ABG/labeled_data/spectrogram_data/training/154795073_2.02_noaug_B_sp4_543.png,1,543
G:/Shared drives/BioSoundSCape_ABG/labeled_data/spectrogram_data/training/157374472_43.01_noaug_B_sp4_576.png,1,576
G:/Shared drives/BioSoundSCape_ABG/labeled_data/spectrogram_data/training/s2lam016_231103_2023-11-07_05-50_42.81_noaug_B_sp4_574.png,1,574
G:/Shared drives/BioSoundSCape_ABG/labeled_data/spectrogram_data/training/s2lam041_230711_2023-07-13_17-10_20.62_noaug_B_sp4_609.png,1,609
G:/Shared drives/BioSoundSCape_ABG/labeled_data/spectrogram_data/training/s2lam049_230622_2023-06-23_16-30_45.83_noaug_B_sp4_611.png,1,611
G:/Shared drives/BioSoundSCape_ABG/labeled_data/spectrogram_data/training/s2lam054_220928_2022-10-12_05-40_24.22_noaug_B_sp4_614.png,1,614
G:/Shared drives/BioSoundSCape_ABG/labeled_data/spectrogram_data/training/s2lam105_230630_2023-07-02_14-10_49.27_noaug_B_sp4_613.png,1,613
G:/Shared drives/BioSoundSCape_ABG/labeled_data/spectrogram_data/training/s2lam079_231027_2023-11-01_11-50_0.9_noaug_B_sp4_612.png,1,612
G:/Shared drives/BioSoundSCape_ABG/labeled_data/spectrogram_data/training/s2lam049_230622_2023-06-23_16-30_46.08_noaug_B_sp4_611.png,1,611
G:/Shared drives/BioSoundSCape_ABG/labeled_data/spectrogram_data/training/s2lam041_230711_2023-07-13_17-10_20.87_noaug_B_sp4_609.png,1,609
G:/Shared drives/BioSoundSCape_ABG/labeled_data/spectrogram_data/training/s2lam041_230711_2023-07-13_17-10_21.12_noaug_B_sp4_609.png,1,609
G:/Shared drives/BioSoundSCape_ABG/labeled_data/spectrogram_data/training/s2lam079_230725_2023-07-26_07-20_44.89_noaug_B_sp4_610.png,1,610
G:/Shared drives/BioSoundSCape_ABG/labeled_data/spectrogram_data/training/s2lam105_230630_2023-07-02_14-10_49.52_noaug_B_sp4_613.png,1,613
G:/Shared drives/BioSoundSCape_ABG/labeled_data/spectrogram_data/training/154793543_31.69_noaug_B_sp4_608.png,1,608
G:/Shared drives/BioSoundSCape_ABG/labeled_data/spectrogram_data/training/154793543_32.19_noaug_B_sp4_608.png,1,608
G:/Shared drives/BioSoundSCape_ABG/labeled_data/spectrogram_data/training/s2lam054_220928_2022-10-12_05-40_23.72_noaug_B_sp4_614.png,1,614
G:/Shared drives/BioSoundSCape_ABG/labeled_data/spectrogram_data/training/s2lam049_230622_2023-06-23_16-30_45.58_noaug_B_sp4_611.png,1,611
G:/Shared drives/BioSoundSCape_ABG/labeled_data/spectrogram_data/training/s2lam079_230725_2023-07-26_07-20_45.39_noaug_B_sp4_610.png,1,610
G:/Shared drives/BioSoundSCape_ABG/labeled_data/spectrogram_data/training/154785451_45.31_noaug_B_sp4_615.png,1,615
G:/Shared drives/BioSoundSCape_ABG/labeled_data/spectrogram_data/training/s2lam079_230725_2023-07-26_07-20_45.14_noaug_B_sp4_610.png,1,610
G:/Shared drives/BioSoundSCape_ABG/labeled_data/spectrogram_data/training/s2lam136_230822_2023-08-25_09-20_2.68_noaug_B_sp4_567.png,1,567
G:/Shared drives/BioSoundSCape_ABG/labeled_data/spectrogram_data/training/s2lam038_231020_2023-10-23_17-00_40.48_noaug_B_sp4_558.png,1,558
G:/Shared drives/BioSoundSCape_ABG/labeled_data/spectrogram_data/training/s2lam107_230819_2023-08-20_06-50_8.29_noaug_B_sp4_575.png,1,575
G:/Shared drives/BioSoundSCape_ABG/labeled_data/spectrogram_data/training/s2lam143_230728_2023-08-08_08-50_50.27_noaug_B_sp4_556.png,1,556
G:/Shared drives/BioSoundSCape_ABG/labeled_data/spectrogram_data/training/154794340_42.64_noaug_B_sp4_591.png,1,591
G:/Shared drives/BioSoundSCape_ABG/labeled_data/spectrogram_data/training/156089617_29.04_noaug_B_sp4_542.png,1,542
G:/Shared drives/BioSoundSCape_ABG/labeled_data/spectrogram_data/training/s2lam088_231020_2023-10-25_08-50_30.92_noaug_B_sp4_616.png,1,616
G:/Shared drives/BioSoundSCape_ABG/labeled_data/spectrogram_data/training/s2lam054_220928_2022-10-12_05-40_23.97_noaug_B_sp4_614.png,1,614
G:/Shared drives/BioSoundSCape_ABG/labeled_data/spectrogram_data/training/s2lam105_230630_2023-07-02_14-10_49.02_noaug_B_sp4_613.png,1,613
G:/Shared drives/BioSoundSCape_ABG/labeled_data/spectrogram_data/training/s2lam023_231028_2023-10-31_07-10_31.96_noaug_B_sp4_618.png,1,618
G:/Shared drives/BioSoundSCape_ABG/labeled_data/spectrogram_data/training/154785451_45.06_noaug_B_sp4_615.png,1,615
G:/Shared drives/BioSoundSCape_ABG/labeled_data/spectrogram_data/training/s2lam038_230725_2023-07-28_14-50_47.82_noaug_B_sp4_617.png,1,617
G:/Shared drives/BioSoundSCape_ABG/labeled_data/spectrogram_data/training/s2lam038_230725_2023-07-28_14-50_47.57_noaug_B_sp4_617.png,1,617
G:/Shared drives/BioSoundSCape_ABG/labeled_data/spectrogram_data/training/s2lam088_231020_2023-10-25_08-50_31.17_noaug_B_sp4_616.png,1,616
G:/Shared drives/BioSoundSCape_ABG/labeled_data/spectrogram_data/training/s2lam088_231020_2023-10-25_08-50_31.42_noaug_B_sp4_616.png,1,616
G:/Shared drives/BioSoundSCape_ABG/labeled_data/spectrogram_data/training/154785451_45.56_noaug_B_sp4_615.png,1,615
G:/Shared drives/BioSoundSCape_ABG/labeled_data/spectrogram_data/training/154794962_52.7_noaug_B_sp4_622.png,1,622
G:/Shared drives/BioSoundSCape_ABG/labeled_data/spectrogram_data/training/s2lam072_230812_2023-08-19_14-40_45.91_noaug_B_sp4_620.png,1,620
G:/Shared drives/BioSoundSCape_ABG/labeled_data/spectrogram_data/training/s2lam107_231125_2023-11-28_11-10_15.65_noaug_B_sp4_621.png,1,621
G:/Shared drives/BioSoundSCape_ABG/labeled_data/spectrogram_data/training/s2lam107_230819_2023-08-20_17-50_2.5_noaug_B_sp4_619.png,1,619
G:/Shared drives/BioSoundSCape_ABG/labeled_data/spectrogram_data/training/s2lam107_230819_2023-08-20_17-50_2.75_noaug_B_sp4_619.png,1,619
G:/Shared drives/BioSoundSCape_ABG/labeled_data/spectrogram_data/training/s2lam030_230811_2023-08-20_09-00_55.01_noaug_B_sp4_624.png,1,624
G:/Shared drives/BioSoundSCape_ABG/labeled_data/spectrogram_data/training/154793799_9.64_noaug_B_sp4_625.png,1,625
G:/Shared drives/BioSoundSCape_ABG/labeled_data/spectrogram_data/training/154795396_2.78_noaug_B_sp4_629.png,1,629
G:/Shared drives/BioSoundSCape_ABG/labeled_data/spectrogram_data/training/s2lam038_230725_2023-07-28_14-50_47.32_noaug_B_sp4_617.png,1,617
G:/Shared drives/BioSoundSCape_ABG/labeled_data/spectrogram_data/training/s2lam023_231028_2023-10-31_07-10_33.96_noaug_B_sp4_618.png,1,618
G:/Shared drives/BioSoundSCape_ABG/labeled_data/spectrogram_data/training/s2lam038_230725_2023-07-27_14-20_0.0_noaug_B_sp4_627.png,1,627
G:/Shared drives/BioSoundSCape_ABG/labeled_data/spectrogram_data/training/s2lam107_230819_2023-08-20_17-50_2.25_noaug_B_sp4_619.png,1,619
G:/Shared drives/BioSoundSCape_ABG/labeled_data/spectrogram_data/training/154794962_52.45_noaug_B_sp4_622.png,1,622
G:/Shared drives/BioSoundSCape_ABG/labeled_data/spectrogram_data/training/s2lam107_231125_2023-11-28_11-10_15.9_noaug_B_sp4_621.png,1,621
G:/Shared drives/BioSoundSCape_ABG/labeled_data/spectrogram_data/training/154793799_9.39_noaug_B_sp4_625.png,1,625
G:/Shared drives/BioSoundSCape_ABG/labeled_data/spectrogram_data/training/154793799_9.14_noaug_B_sp4_625.png,1,625
G:/Shared drives/BioSoundSCape_ABG/labeled_data/spectrogram_data/training/s2lam072_230812_2023-08-19_14-40_45.66_noaug_B_sp4_620.png,1,620
G:/Shared drives/BioSoundSCape_ABG/labeled_data/spectrogram_data/training/s2lam072_230812_2023-08-19_14-40_45.41_noaug_B_sp4_620.png,1,620
G:/Shared drives/BioSoundSCape_ABG/labeled_data/spectrogram_data/training/157792672_1.38_noaug_B_sp4_626.png,1,626
G:/Shared drives/BioSoundSCape_ABG/labeled_data/spectrogram_data/training/s2lam038_230725_2023-07-27_14-20_0.5_noaug_B_sp4_627.png,1,627
G:/Shared drives/BioSoundSCape_ABG/labeled_data/spectrogram_data/training/157374472_43.26_noaug_B_sp4_576.png,1,576
G:/Shared drives/BioSoundSCape_ABG/labeled_data/spectrogram_data/training/s2lam079_231103_2023-11-04_16-50_27.63_noaug_B_sp4_566.png,1,566
G:/Shared drives/BioSoundSCape_ABG/labeled_data/spectrogram_data/training/157789693_4.74_noaug_B_sp4_555.png,1,555
G:/Shared drives/BioSoundSCape_ABG/labeled_data/spectrogram_data/training/s2lam038_230725_2023-07-27_14-20_0.25_noaug_B_sp4_627.png,1,627
G:/Shared drives/BioSoundSCape_ABG/labeled_data/spectrogram_data/training/s2lam103_231010_2023-10-12_07-30_3.6_noaug_B_sp4_628.png,1,628
G:/Shared drives/BioSoundSCape_ABG/labeled_data/spectrogram_data/training/s2lam179_231124_2023-11-25_14-30_49.96_noaug_B_sp4_632.png,1,632
G:/Shared drives/BioSoundSCape_ABG/labeled_data/spectrogram_data/training/s2lam107_231125_2023-11-28_11-10_16.15_noaug_B_sp4_621.png,1,621
G:/Shared drives/BioSoundSCape_ABG/labeled_data/spectrogram_data/training/s2lam107_230725_2023-07-26_16-20_51.67_noaug_B_sp4_631.png,1,631
G:/Shared drives/BioSoundSCape_ABG/labeled_data/spectrogram_data/training/154794908_3.49_noaug_B_sp4_623.png,1,623
G:/Shared drives/BioSoundSCape_ABG/labeled_data/spectrogram_data/training/157792672_0.88_noaug_B_sp4_626.png,1,626
G:/Shared drives/BioSoundSCape_ABG/labeled_data/spectrogram_data/training/s2lam030_230811_2023-08-20_09-00_55.26_noaug_B_sp4_624.png,1,624
G:/Shared drives/BioSoundSCape_ABG/labeled_data/spectrogram_data/training/154795396_3.03_noaug_B_sp4_629.png,1,629
G:/Shared drives/BioSoundSCape_ABG/labeled_data/spectrogram_data/training/s2lam024_230808_2023-08-10_05-40_39.35_noaug_B_sp4_630.png,1,630
G:/Shared drives/BioSoundSCape_ABG/labeled_data/spectrogram_data/training/s2lam024_230808_2023-08-10_05-40_39.6_noaug_B_sp4_630.png,1,630
G:/Shared drives/BioSoundSCape_ABG/labeled_data/spectrogram_data/training/s2lam179_231124_2023-11-25_14-30_49.71_noaug_B_sp4_632.png,1,632
G:/Shared drives/BioSoundSCape_ABG/labeled_data/spectrogram_data/training/s2lam107_230725_2023-07-26_16-20_52.17_noaug_B_sp4_631.png,1,631
G:/Shared drives/BioSoundSCape_ABG/labeled_data/spectrogram_data/training/s2lam107_230725_2023-07-26_16-20_51.92_noaug_B_sp4_631.png,1,631
G:/Shared drives/BioSoundSCape_ABG/labeled_data/spectrogram_data/training/s2lam024_230808_2023-08-10_05-40_39.1_noaug_B_sp4_630.png,1,630
G:/Shared drives/BioSoundSCape_ABG/labeled_data/spectrogram_data/training/s2lam103_231010_2023-10-12_07-30_3.85_noaug_B_sp4_628.png,1,628
G:/Shared drives/BioSoundSCape_ABG/labeled_data/spectrogram_data/training/157792672_1.13_noaug_B_sp4_626.png,1,626
G:/Shared drives/BioSoundSCape_ABG/labeled_data/spectrogram_data/training/s2lam103_231010_2023-10-12_07-30_3.35_noaug_B_sp4_628.png,1,628
G:/Shared drives/BioSoundSCape_ABG/labeled_data/spectrogram_data/training/s2lam024_230808_2023-08-10_04-40_42.22_noaug_B_sp4_644.png,1,644
G:/Shared drives/BioSoundSCape_ABG/labeled_data/spectrogram_data/training/s2lam154_231005_2023-10-05_14-10_34.24_noaug_B_sp4_633.png,1,633
G:/Shared drives/BioSoundSCape_ABG/labeled_data/spectrogram_data/training/s2lam024_230808_2023-08-10_04-40_42.47_noaug_B_sp4_644.png,1,644
G:/Shared drives/BioSoundSCape_ABG/labeled_data/spectrogram_data/training/154794908_3.74_noaug_B_sp4_623.png,1,623
G:/Shared drives/BioSoundSCape_ABG/labeled_data/spectrogram_data/training/s2lam141_231020_2023-10-23_05-30_4.03_noaug_B_sp4_634.png,1,634
G:/Shared drives/BioSoundSCape_ABG/labeled_data/spectrogram_data/training/s2lam081_230520_2023-05-23_11-20_16.68_noaug_B_sp4_639.png,1,639
G:/Shared drives/BioSoundSCape_ABG/labeled_data/spectrogram_data/training/s2lam139_230718_2023-07-23_17-40_1.52_noaug_B_sp4_641.png,1,641
G:/Shared drives/BioSoundSCape_ABG/labeled_data/spectrogram_data/training/s2lam154_231005_2023-10-05_14-10_34.74_noaug_B_sp4_633.png,1,633
G:/Shared drives/BioSoundSCape_ABG/labeled_data/spectrogram_data/training/s2lam029_231010_2023-10-11_09-50_31.24_noaug_B_sp4_638.png,1,638
G:/Shared drives/BioSoundSCape_ABG/labeled_data/spectrogram_data/training/s2lam081_230520_2023-05-23_11-20_17.18_noaug_B_sp4_639.png,1,639
G:/Shared drives/BioSoundSCape_ABG/labeled_data/spectrogram_data/training/154795396_3.28_noaug_B_sp4_629.png,1,629
G:/Shared drives/BioSoundSCape_ABG/labeled_data/spectrogram_data/training/s2lam141_231020_2023-10-23_05-30_3.53_noaug_B_sp4_634.png,1,634
G:/Shared drives/BioSoundSCape_ABG/labeled_data/spectrogram_data/training/s2lam040_231011_2023-10-12_12-40_58.2_noaug_B_sp4_640.png,1,640
G:/Shared drives/BioSoundSCape_ABG/labeled_data/spectrogram_data/training/s2lam179_231124_2023-11-25_14-30_49.46_noaug_B_sp4_632.png,1,632
G:/Shared drives/BioSoundSCape_ABG/labeled_data/spectrogram_data/training/s2lam029_231010_2023-10-11_09-50_30.99_noaug_B_sp4_638.png,1,638
G:/Shared drives/BioSoundSCape_ABG/labeled_data/spectrogram_data/training/s2lam038_231020_2023-10-24_15-20_48.21_noaug_B_sp4_635.png,1,635
G:/Shared drives/BioSoundSCape_ABG/labeled_data/spectrogram_data/training/s2lam029_231010_2023-10-11_09-50_30.74_noaug_B_sp4_638.png,1,638
G:/Shared drives/BioSoundSCape_ABG/labeled_data/spectrogram_data/training/154794962_52.95_noaug_B_sp4_622.png,1,622
G:/Shared drives/BioSoundSCape_ABG/labeled_data/spectrogram_data/training/s2lam040_231011_2023-10-12_12-40_57.95_noaug_B_sp4_640.png,1,640
G:/Shared drives/BioSoundSCape_ABG/labeled_data/spectrogram_data/training/s2lam040_231011_2023-10-12_12-40_57.7_noaug_B_sp4_640.png,1,640
G:/Shared drives/BioSoundSCape_ABG/labeled_data/spectrogram_data/training/s2lam038_231020_2023-10-24_15-20_47.96_noaug_B_sp4_635.png,1,635
G:/Shared drives/BioSoundSCape_ABG/labeled_data/spectrogram_data/training/s2lam081_230520_2023-05-23_11-20_16.93_noaug_B_sp4_639.png,1,639
G:/Shared drives/BioSoundSCape_ABG/labeled_data/spectrogram_data/training/s2lam093_230725_2023-07-28_09-50_57.84_noaug_B_sp4_643.png,1,643
G:/Shared drives/BioSoundSCape_ABG/labeled_data/spectrogram_data/training/s2lam093_230725_2023-07-28_09-50_57.34_noaug_B_sp4_643.png,1,643
G:/Shared drives/BioSoundSCape_ABG/labeled_data/spectrogram_data/training/s2lam002_231115_2023-11-17_05-40_22.33_noaug_B_sp4_636.png,1,636
G:/Shared drives/BioSoundSCape_ABG/labeled_data/spectrogram_data/training/154795744_23.91_noaug_B_sp4_651.png,1,651
G:/Shared drives/BioSoundSCape_ABG/labeled_data/spectrogram_data/training/154794725_37.81_noaug_B_sp4_637.png,1,637
G:/Shared drives/BioSoundSCape_ABG/labeled_data/spectrogram_data/training/154793120_37.58_noaug_B_sp4_642.png,1,642
G:/Shared drives/BioSoundSCape_ABG/labeled_data/spectrogram_data/training/154793120_37.83_noaug_B_sp4_642.png,1,642
G:/Shared drives/BioSoundSCape_ABG/labeled_data/spectrogram_data/training/s2lam038_231020_2023-10-24_15-20_48.46_noaug_B_sp4_635.png,1,635
G:/Shared drives/BioSoundSCape_ABG/labeled_data/spectrogram_data/training/s2lam154_231005_2023-10-05_14-10_34.49_noaug_B_sp4_633.png,1,633
G:/Shared drives/BioSoundSCape_ABG/labeled_data/spectrogram_data/training/154794908_3.24_noaug_B_sp4_623.png,1,623
G:/Shared drives/BioSoundSCape_ABG/labeled_data/spectrogram_data/training/s2lam093_230725_2023-07-28_09-50_57.59_noaug_B_sp4_643.png,1,643
G:/Shared drives/BioSoundSCape_ABG/labeled_data/spectrogram_data/training/154794725_37.56_noaug_B_sp4_637.png,1,637
G:/Shared drives/BioSoundSCape_ABG/labeled_data/spectrogram_data/training/s2lam079_231011_2023-10-12_07-20_2.61_noaug_B_sp4_645.png,1,645
G:/Shared drives/BioSoundSCape_ABG/labeled_data/spectrogram_data/training/154793120_37.33_noaug_B_sp4_642.png,1,642
G:/Shared drives/BioSoundSCape_ABG/labeled_data/spectrogram_data/training/s2lam024_230808_2023-08-10_04-40_41.97_noaug_B_sp4_644.png,1,644
G:/Shared drives/BioSoundSCape_ABG/labeled_data/spectrogram_data/training/s2lam030_230811_2023-08-20_09-00_54.76_noaug_B_sp4_624.png,1,624
G:/Shared drives/BioSoundSCape_ABG/labeled_data/spectrogram_data/training/s2lam002_231115_2023-11-17_05-40_22.08_noaug_B_sp4_636.png,1,636
G:/Shared drives/BioSoundSCape_ABG/labeled_data/spectrogram_data/training/154794409_11.36_noaug_B_sp4_653.png,1,653
G:/Shared drives/BioSoundSCape_ABG/labeled_data/spectrogram_data/training/154792903_33.3_noaug_B_sp4_650.png,1,650
G:/Shared drives/BioSoundSCape_ABG/labeled_data/spectrogram_data/training/154795744_23.41_noaug_B_sp4_651.png,1,651
G:/Shared drives/BioSoundSCape_ABG/labeled_data/spectrogram_data/training/s2lam141_231020_2023-10-23_05-30_3.78_noaug_B_sp4_634.png,1,634
G:/Shared drives/BioSoundSCape_ABG/labeled_data/spectrogram_data/training/154794725_37.31_noaug_B_sp4_637.png,1,637
